ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	127.33103379638288	127.33103379638288	127.33103379638288	127.33103379638288
1	128.91496099668288	128.61620664554786	128.7709604292692	128.9257142129909
2	130.0033097546951	129.4316902042459	129.74290117121026	130.04795454059717
3	130.79488160394044	129.960067516708	130.4364917404983	130.89660475575965
4	131.29778981100378	130.2481365620091	130.8617977760752	131.4469832549957
5	131.67081175376958	130.3971041927258	131.17304612687832	131.90548595038072
6	131.87485788308211	130.40082597600343	131.34204188732633	132.222904257141
7	131.94160091925008	130.3650575360501	131.3914627993854	132.33357783121033
8	131.98175057518532	130.35559850840147	131.4128501432537	132.36061359301993
9	132.03411100038693	130.3551975402437	131.44655315231418	132.4027934590581
