Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	20:55:44	20:55:44	20:55:45			20:55:45	20:55:45	20:55:45	20:56:40	20:56:40	20:56:40	20:56:40	20:56:41	20:56:41	20:56:44	20:56:44		00:00:00		00:00:00	00:00:55	00:00:00	00:00:00	00:00:02	00:00:59
1	20:56:44	20:56:44	20:56:45	20:56:45	20:56:46	20:56:46	20:56:47	20:56:47	20:57:07	20:57:07	20:57:07	20:57:07	20:57:08	20:57:08	20:57:10	20:57:10		00:00:00	00:00:00	00:00:00	00:00:20	00:00:00	00:00:00	00:00:02	00:00:25
2	20:57:10	20:57:10	20:57:11	20:57:11	20:57:12	20:57:12	20:57:14	20:57:14	20:57:32	20:57:32	20:57:32	20:57:32	20:57:32	20:57:32	20:57:35	20:57:35		00:00:00	00:00:01	00:00:02	00:00:17	00:00:00	00:00:00	00:00:02	00:00:24
3	20:57:35	20:57:35	20:57:35	20:57:35	20:57:36	20:57:36	20:57:37	20:57:37	20:57:58	20:57:58	20:57:58	20:57:58	20:57:59	20:57:59	20:58:00	20:58:00		00:00:00	00:00:00	00:00:00	00:00:20	00:00:00	00:00:00	00:00:01	00:00:25
4	20:58:00	20:58:00	20:58:01	20:58:01	20:58:01	20:58:01	20:58:02	20:58:02	20:58:20	20:58:20	20:58:20	20:58:20	20:58:21	20:58:21	20:58:23	20:58:23		00:00:00	00:00:00	00:00:00	00:00:18	00:00:00	00:00:00	00:00:01	00:00:22
5	20:58:23	20:58:23	20:58:24	20:58:24	20:58:24	20:58:24	20:58:25	20:58:25	20:58:44	20:58:44	20:58:44	20:58:44	20:58:45	20:58:45	20:58:47	20:58:47		00:00:00	00:00:00	00:00:00	00:00:19	00:00:00	00:00:01	00:00:01	00:00:23
6	20:58:47	20:58:47	20:58:48	20:58:48	20:58:49	20:58:49	20:58:49	20:58:49	20:59:07	20:59:07	20:59:07	20:59:07	20:59:07	20:59:07	20:59:09	20:59:09		00:00:00	00:00:00	00:00:00	00:00:17	00:00:00	00:00:00	00:00:01	00:00:21
7	20:59:09	20:59:09	20:59:10	20:59:10	20:59:10	20:59:10	20:59:11	20:59:11	20:59:29	20:59:29	20:59:29	20:59:29	20:59:30	20:59:30	20:59:31	20:59:31		00:00:00	00:00:00	00:00:00	00:00:18	00:00:00	00:00:00	00:00:01	00:00:22
8	20:59:32	20:59:32	20:59:32	20:59:32	20:59:34	20:59:34	20:59:34	20:59:34	20:59:53	20:59:53	20:59:53	20:59:53	20:59:54	20:59:54	20:59:55	20:59:55		00:00:00	00:00:02	00:00:00	00:00:18	00:00:00	00:00:00	00:00:01	00:00:23
9	20:59:56	20:59:56	20:59:56	20:59:56	20:59:57	20:59:57	20:59:57	20:59:57	21:00:43	21:00:43	21:00:43	21:00:43	21:00:44	21:00:44	21:00:45	21:00:45		00:00:00	00:00:00	00:00:00	00:00:45	00:00:00	00:00:00	00:00:01	00:00:49
